Sector,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total U.S. CO2 Emissions from energy use,"4,426.40","4,750.40","4,587.10","5,039.90","4,994.60","5,094.90","5,185.80","5,263.60","5,323.20","5,512.10","5,582.90","5,631.40","5,693.00","5,866.60","5,764.70","5,809.20","5,859.90","5,978.80","5,999.20","5,913.70","6,003.10","5,816.60","5,392.00","5,584.60","5,445.70","5,229.00","5,356.00","5,413.20","5,262.90","5,170.40","5,130.70","5,280.90","5,130.50"
Transportation,"1,291.60","1,400.20","1,421.20","1,587.60","1,567.90","1,591.60","1,604.20","1,644.10","1,678.50","1,723.80","1,742.20","1,779.40","1,825.60","1,869.70","1,849.10","1,889.80","1,890.70","1,957.40","1,984.20","2,012.30","2,017.90","1,893.30","1,824.80","1,842.90","1,809.00","1,773.40","1,796.40","1,814.90","1,838.80","1,871.00","1,887.50","1,917.80","1,904.90"
Coal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural gas,31.5,34.5,27.6,36,32.9,32.3,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.2,35.2,36.7,37.9,38.1,38.9,41.4,47.1,40.3,39.5,40.2,42.4,50.3,51.9
Electricity,2.1,2.4,2.9,3.2,3.2,3.1,3.2,3.3,3.2,3.2,3.3,3.3,3.4,3.6,3.8,3.6,4.5,4.8,5,4.7,5.3,4.9,4.7,4.7,4.4,4,4.2,4.2,3.9,3.6,3.5,3.5,3.3
Petroleum,"1,257.90","1,363.30","1,390.80","1,548.40","1,531.90","1,556.20","1,566.90","1,603.20","1,636.90","1,681.50","1,697.50","1,740.80","1,786.40","1,830.40","1,810.40","1,849.10","1,852.90","1,920.70","1,946.10","1,974.40","1,977.40","1,851.70","1,782.20","1,800.00","1,765.60","1,728.00","1,745.10","1,770.40","1,795.40","1,827.20","1,841.60","1,864.00","1,849.70"
Motor gasoline,888.6,881.3,907.9,966.8,962.4,979.1,993.1,"1,004.10","1,026.40","1,046.10","1,055.40","1,087.90","1,112.80","1,119.40","1,125.30","1,155.60","1,159.20","1,180.20","1,180.10","1,186.60","1,182.90","1,119.00","1,106.80","1,088.80","1,057.00","1,051.10","1,066.00","1,077.20","1,083.10","1,101.60","1,098.90","1,099.00","1,091.00"
Hydrocrabon gas liquidsa,2.7,1.1,1.9,1.4,1.3,1.2,1.3,2.1,1.1,1,0.9,1.1,0.9,0.8,0.9,0.9,1.1,1.2,1.8,1.7,1.4,2.5,1.8,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5
Jet fuel,144.7,155.4,177.9,222.6,215.2,213.4,215.1,223.8,222.1,232.1,234.5,237.9,245.4,253.8,242.8,236.8,231.5,239.8,246.3,239.5,238,226.3,204.4,210,209.1,205.7,210.4,215.6,227.1,237.4,246.8,250.4,255.2
Distillate fuel oil,155.2,204.4,231.9,267.8,263.4,269.5,277.7,294.7,306.6,326.7,341.5,351.6,365.4,377.4,386.7,394,408.5,433.4,443.9,467.4,469,423.7,400.4,422.8,430.5,411.2,415.6,434.9,440.8,431.4,436.4,459.9,455.1
Residual fuel oil,56,110.2,61.9,80.1,80.8,84.3,71,69.5,71.7,67.1,56.1,53.1,52.4,69.9,46.1,53.3,45,58.3,66,71.4,78.3,73,62.3,70.3,61.2,52.8,45.8,35.2,36.5,49.1,52.4,47.6,41.5
Lubricants,5.7,6.4,5.8,6.5,5.8,6,6.1,6.3,6.2,6,6.4,6.7,6.8,6.7,6.1,6,5.6,5.6,5.6,5.5,5.6,5.2,4.7,5.7,5.5,5,5.3,5.5,6,5.7,5.3,5.1,4.8
Aviation gas,4.9,4.5,3.5,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6
Industrial,"1,684.70","1,777.00","1,552.70","1,696.60","1,652.20","1,726.00","1,722.90","1,753.80","1,754.30","1,806.60","1,824.90","1,807.70","1,785.40","1,789.80","1,716.80","1,690.60","1,700.00","1,741.10","1,685.50","1,667.10","1,667.20","1,613.70","1,403.10","1,507.30","1,498.00","1,481.40","1,501.40","1,512.90","1,454.70","1,423.70","1,429.70","1,461.70","1,423.30"
Residential,867.3,911.4,908.7,963.2,980.1,981.5,"1,039.30","1,032.20","1,039.10","1,099.10","1,089.80","1,097.40","1,121.60","1,185.10","1,171.50","1,202.60","1,232.10","1,227.30","1,261.00","1,191.40","1,240.60","1,234.50","1,157.00","1,209.50","1,148.80","1,042.70","1,099.90","1,115.20","1,037.00",982,946.8,"1,015.50",963.5
Commercial,582.9,661.9,704.5,792.5,794.3,795.9,819.3,833.4,851.3,882.6,926,946.8,960.3,"1,022.00","1,027.20","1,026.30","1,037.10","1,053.10","1,068.50","1,042.90","1,077.50","1,075.00","1,007.10","1,024.90",989.9,931.6,958.4,970.2,932.3,893.8,866.6,885.8,838.8
