year,total_emission,transportation_emission,coal_emission,natural_gas_emission,electricity_emission,petroleum_emission,motor_emission,hydrocrabon_gas_emission,jet_fuel_emission,distillate_fuel_emission,residual_fuel_emission,lubricant_emission,aviation_gas_emission,industrial_emission,residential_emission,commercial_emission,wood energy production,biofuels production,total biomass energy production,total renewable energy production,hydroelectric power consumption,geothermal energy consumption,solar energy consumption,wind energy consumption,wood energy consumption,waste energy consumption,biofuels consumption,total biomass energy consumption,total renewable energy consumption,gdp_usd,gdp_growth_annual%,gdp_per_energyuse,gasprice_per_gal,inflated_gasprice_gal,emission_per_capita,electric_consumption_per_capita,gdp_per_capita_usd,gdp_per_capita_annualgrowth%
1990,"5,039.90","1,587.60",0,36,3.2,"1,548.40",966.8,1.4,222.6,267.8,80.1,6.5,3.1,"1,696.60",963.2,792.5,2216.166,110.867,2735.112,6040.024,3046.3909999999996,170.747,58.768,29.006999999999998,2216.166,408.079,110.867,2735.112,6040.024,5960000000000.0,1.89,3.11,1.22,2.41,19.32,11713.33,23888.6,0.74
1991,"4,994.60","1,567.90",0,32.9,3.2,"1,531.90",962.4,1.3,215.2,263.4,80.8,5.8,2.9,"1,652.20",980.1,794.3,2214.0820000000003,128.0,2781.797,6067.785,3015.9429999999998,177.62599999999998,61.623000000000005,30.796,2214.0820000000003,439.715,128.0,2781.797,6067.785,6160000000000.0,-0.11,3.19,1.2,2.27,19.06,12134.17,24342.26,-1.43
1992,"5,094.90","1,591.60",0,32.3,3.1,"1,556.20",979.1,1.2,213.4,269.5,84.3,6,2.8,"1,726.00",981.5,795.9,2313.471,145.005,2931.678,5820.556,2617.436,178.699,62.88,29.863000000000003,2313.471,473.202,145.005,2931.678,5820.556,6520000000000.0,3.52,3.31,1.09,2.0,19.14,12014.96,25418.99,2.1
1993,"5,185.80","1,604.20",0,34.2,3.2,"1,566.90",993.1,1.3,215.1,277.7,71,6.1,2.7,"1,722.90","1,039.30",819.3,2259.774,169.33599999999998,2908.446,6081.909000000001,2891.613,185.673,65.19,30.987,2259.774,479.336,169.062,2908.172,6081.635,6860000000000.0,2.75,3.42,1.07,1.9,19.35,12261.52,26387.29,1.41
1994,"5,263.60","1,644.10",0,37.6,3.3,"1,603.20","1,004.10",2.1,223.8,294.7,69.5,6.3,2.6,"1,753.80","1,032.20",833.4,2323.82,188.391,3027.534,5987.142,2683.4570000000003,173.46400000000003,67.126,35.56,2323.82,515.323,188.391,3027.534,5987.142,7290000000000.0,4.03,3.57,1.07,1.87,19.36,12455.16,27694.85,2.76
1995,"5,323.20","1,678.50",0,38.4,3.2,"1,636.90","1,026.40",1.1,222.1,306.6,71.7,6.2,2.7,"1,754.30","1,039.10",851.3,2369.869,197.737,3099.0820000000003,6557.308000000001,3205.3070000000002,152.05700000000002,68.233,32.63,2369.869,531.476,199.797,3101.1420000000003,6559.369000000001,7640000000000.0,2.68,3.7,1.1,1.87,19.28,12659.61,28690.88,1.47
1996,"5,512.10","1,723.80",0,39.1,3.2,"1,681.50","1,046.10",1,232.1,326.7,67.1,6,2.6,"1,806.60","1,099.10",882.6,2437.027,141.284,3155.301,7010.889,3589.656,163.359,69.134,33.44,2437.027,576.99,142.789,3156.8059999999996,7012.394,8070000000000.0,3.77,3.82,1.19,1.96,19.5,12854.3,29967.71,2.57
1997,"5,582.90","1,742.20",0,41.4,3.3,"1,697.50","1,055.40",0.9,234.5,341.5,56.1,6.4,2.7,"1,824.90","1,089.80",926,2370.991,186.315,3107.908,7016.81,3640.458,166.69799999999998,68.166,33.580999999999996,2370.991,550.602,183.627,3105.22,7014.121999999999,8580000000000.0,4.45,4.02,1.19,1.91,19.69,12889.83,31459.14,3.2
1998,"5,631.40","1,779.40",0,35.3,3.3,"1,740.80","1,087.90",1.1,237.9,351.6,53.1,6.7,2.5,"1,807.70","1,097.40",946.8,2184.161,202.47400000000002,2928.93,6492.735,3297.054,168.45,67.449,30.853,2184.161,542.295,201.03400000000002,2927.49,6491.295999999999,9060000000000.0,4.48,4.21,1.02,1.61,19.58,13154.76,32853.68,3.27
1999,"5,693.00","1,825.60",0,35.8,3.4,"1,786.40","1,112.80",0.9,245.4,365.4,52.4,6.8,2.7,"1,785.40","1,121.60",960.3,2214.167,210.80900000000003,2965.132,6515.588000000001,3267.575,170.921,66.066,45.894,2214.167,540.156,208.967,2963.29,6513.746999999999,9630000000000.0,4.75,4.36,1.12,1.73,19.73,13281.87,34513.56,3.56
