FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_geothermal_2020.1,1,Geysers Unit 5-20,Geysers Power Co LLC,IPP Non-CHP,Middletown,Sonoma,California,95461,geothermal,644,Geothermal
powerplant_geothermal_2020.2,2,Blundell,PacifiCorp,Electric Utility,Milford,Beaver,Utah,84751,geothermal,34,Geothermal
powerplant_geothermal_2020.3,3,Sonoma California Geothermal,Geysers Power Co LLC,IPP Non-CHP,Middletown,Lake,California,95461,geothermal,50,Geothermal
powerplant_geothermal_2020.4,4,Bottle Rock Power,Bottle Rock Power LLC,IPP Non-CHP,Cobb,Lake,California,95426,geothermal,9,Geothermal
powerplant_geothermal_2020.5,5,Geothermal 1,Northern California Power Agny,Electric Utility,Middletown,Sonoma,California,95461,geothermal,47,Geothermal
powerplant_geothermal_2020.6,6,Geothermal 2,Northern California Power Agny,Electric Utility,Middletown,Sonoma,California,95461,geothermal,66,Geothermal
powerplant_geothermal_2020.7,7,Desert Peak Power Plant,Ormat Nevada Inc,IPP Non-CHP,Fernley,Lyon,Nevada,89406,geothermal,17.3,Geothermal
powerplant_geothermal_2020.8,8,Beowawe Power,Terra-Gen Operating Co-Geo,IPP Non-CHP,Beowawe,Lander,Nevada,89821,geothermal,14.1,Geothermal
powerplant_geothermal_2020.9,9,Ples I,Ormat Nevada Inc,IPP Non-CHP,Mammoth Lakes,Mono,California,93546,geothermal,9.9,Geothermal
powerplant_geothermal_2020.10,10,Mammoth Pacific I,Ormat Nevada Inc,IPP Non-CHP,Mammoth lakes,Mono,California,93546,geothermal,6.6,Geothermal
powerplant_geothermal_2020.11,11,Mammoth Pacific II,Ormat Nevada Inc,IPP Non-CHP,Mammoth Lakes,Mono,California,93546,geothermal,9.9,Geothermal
powerplant_geothermal_2020.12,12,CE Leathers,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,42,Geothermal
powerplant_geothermal_2020.13,13,Del Ranch Company,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,42,Geothermal
powerplant_geothermal_2020.14,14,Elmore Company,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,49,Geothermal
powerplant_geothermal_2020.15,15,Salton Sea Power Gen Co - Unit 3,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,50,Geothermal
powerplant_geothermal_2020.16,16,Geo East Mesa III,Ormat Nevada Inc,IPP Non-CHP,Holtville,Imperial,California,92250,geothermal,19.7,Geothermal
powerplant_geothermal_2020.17,17,Coso Finance Partners,Coso Operating Co LLC,IPP Non-CHP,Inyokern,Inyo,California,93527,geothermal,81.2,Geothermal
powerplant_geothermal_2020.18,18,Coso Power Developers,Coso Operating Co LLC,IPP Non-CHP,Inyokern,Inyo,California,93527,geothermal,80.3,Geothermal
powerplant_geothermal_2020.19,19,Coso Energy Developers,Coso Operating Co LLC,IPP Non-CHP,Inyokern,Inyo,California,93527,geothermal,67.8,Geothermal
powerplant_geothermal_2020.20,20,Salton Sea Power Gen Co Unit 1,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,10,Geothermal
powerplant_geothermal_2020.21,21,Salton Sea Power Gen Co - Unit 2,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,23.1,Geothermal
powerplant_geothermal_2020.22,22,Calistoga Power Plant,Geysers Power Co LLC,IPP Non-CHP,Middletown,Lake,California,95461,geothermal,100,Geothermal
powerplant_geothermal_2020.23,23,Vulcan-BN Geothermal Power Company,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,38,Geothermal
powerplant_geothermal_2020.24,24,Steamboat Hills LP,Ormat Nevada Inc,IPP Non-CHP,Reno,Washoe,Nevada,89521,geothermal,14.6,Geothermal
powerplant_geothermal_2020.25,25,Stillwater Facility,Enel Stillwater LLC,IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,62.2,Geothermal; Solar Photovoltaic;
powerplant_geothermal_2020.26,26,Ormesa I,Ormat Nevada Inc,IPP Non-CHP,Holtville,Imperial,California,92250,geothermal,17.6,Geothermal
powerplant_geothermal_2020.27,27,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,IPP Non-CHP,Amedee,Lassen,California,96127,geothermal,2.2,Geothermal
powerplant_geothermal_2020.28,28,Terra-Gen Dixie Valley,Terra-Gen Operating Co-Geo,IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,58.5,Geothermal
powerplant_geothermal_2020.29,29,Puna Geothermal Venture I,Puna Geothermal Venture,IPP Non-CHP,Pahoa,Hawaii,Hawaii,96778,geothermal,43,Geothermal
powerplant_geothermal_2020.30,30,Aidlin Geothermal Power Plant,Geysers Power Co LLC,IPP Non-CHP,Middletown,Sonoma,California,95425,geothermal,18,Geothermal
powerplant_geothermal_2020.31,31,Soda Lake Geothermal No I II,Cyrq Energy Corp,IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,7.6,Geothermal
powerplant_geothermal_2020.32,32,Geo East Mesa II,Ormat Nevada Inc,IPP Non-CHP,Holtville,Imperial,California,92250,geothermal,14.4,Geothermal
powerplant_geothermal_2020.33,33,Second Imperial Geothermal,"ORCAL Geothermal, Inc",IPP Non-CHP,Heber,Imperial,California,92249,geothermal,64.8,Geothermal
powerplant_geothermal_2020.34,34,Steamboat II,Steamboat Development Corp,IPP Non-CHP,Reno,Washoe,Nevada,89521,geothermal,10.8,Geothermal
powerplant_geothermal_2020.35,35,Steamboat III,Steamboat Development Corp,IPP Non-CHP,Reno,Washoe,Nevada,89521,geothermal,10.8,Geothermal
powerplant_geothermal_2020.36,36,Heber Geothermal,"ORCAL Geothermal, Inc",IPP Non-CHP,Heber,Imperial,California,92249,geothermal,54.3,Geothermal
powerplant_geothermal_2020.37,37,Ormesa II,Ormat Nevada Inc,IPP Non-CHP,Holtville,Imperial,California,92250,geothermal,16,Geothermal
powerplant_geothermal_2020.38,38,Salton Sea Power Gen Co - Unit 4,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,44,Geothermal
powerplant_geothermal_2020.39,39,Salton Sea Power LLC - Unit 5,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,46,Geothermal
powerplant_geothermal_2020.40,40,CE Turbo LLC,CalEnergy Operating Corporation,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,10,Geothermal
powerplant_geothermal_2020.41,41,Brady,Ormat Nevada Inc,IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,14.3,Geothermal
powerplant_geothermal_2020.42,42,Raft River Geothermal Power Plant,US Geothermal Inc.,IPP Non-CHP,Malta,Cassia,Idaho,83342,geothermal,10,Geothermal
powerplant_geothermal_2020.43,43,Richard Burdette Geothermal,Ormat Nevada Inc,IPP Non-CHP,Reno,Washoe,Nevada,89521,geothermal,20,Geothermal
powerplant_geothermal_2020.44,44,Galena 2 Geothermal Power Plant,Ormat Nevada Inc,IPP Non-CHP,Reno,Washoe,Nevada,89511,geothermal,9,Geothermal
