FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.1055,1055,Milton Hydro,SFR Hydro Cor,IPP Non-CHP,Milton,Strafford,New Hampshire,3851,hydroelectric,0.7,Conventional Hydroelectric
powerplant_hydro_2020.1,1,Bankhead Dam,Alabama Power Co,Electric Utility,Northport,Tuscaloosa,Alabama,35476,hydroelectric,53,Conventional Hydroelectric
powerplant_hydro_2020.2,2,Walter Bouldin Dam,Alabama Power Co,Electric Utility,Wetumpka,Elmore,Alabama,36092,hydroelectric,224.1,Conventional Hydroelectric
powerplant_hydro_2020.3,3,H Neely Henry Dam,Alabama Power Co,Electric Utility,Ohatchee,Calhoun,Alabama,36271,hydroelectric,71.1,Conventional Hydroelectric
powerplant_hydro_2020.4,4,Holt Dam,Alabama Power Co,Electric Utility,Tuscaloosa,Tuscaloosa,Alabama,35476,hydroelectric,48,Conventional Hydroelectric
powerplant_hydro_2020.5,5,Jordan Dam,Alabama Power Co,Electric Utility,Wetumpka,Elmore,Alabama,36092,hydroelectric,129.2,Conventional Hydroelectric
powerplant_hydro_2020.6,6,Logan Martin Dam,Alabama Power Co,Electric Utility,Vincent,Talladega,Alabama,35178,hydroelectric,129,Conventional Hydroelectric
powerplant_hydro_2020.7,7,Lay Dam,Alabama Power Co,Electric Utility,Clanton,Chilton,Alabama,35045,hydroelectric,180,Conventional Hydroelectric
powerplant_hydro_2020.8,8,Martin Dam,Alabama Power Co,Electric Utility,Dadeville,Elmore,Alabama,36078,hydroelectric,182.1,Conventional Hydroelectric
powerplant_hydro_2020.9,9,Mitchell Dam,Alabama Power Co,Electric Utility,Verbena,Coosa,Alabama,36091,hydroelectric,163.1,Conventional Hydroelectric
powerplant_hydro_2020.10,10,Lewis Smith Dam,Alabama Power Co,Electric Utility,Jasper,Walker,Alabama,35501,hydroelectric,178,Conventional Hydroelectric
powerplant_hydro_2020.11,11,Thurlow Dam,Alabama Power Co,Electric Utility,Tallassee,Elmore,Alabama,36078,hydroelectric,79.9,Conventional Hydroelectric
powerplant_hydro_2020.12,12,Weiss Dam,Alabama Power Co,Electric Utility,Leesburg,Cherokee,Alabama,35983,hydroelectric,81,Conventional Hydroelectric
powerplant_hydro_2020.13,13,Yates Dam,Alabama Power Co,Electric Utility,Tallassee,Elmore,Alabama,36078,hydroelectric,44,Conventional Hydroelectric
powerplant_hydro_2020.14,14,Rollins,Nevada Irrigation District,IPP Non-CHP,Colfax,Placer,California,95713,hydroelectric,12.1,Conventional Hydroelectric
powerplant_hydro_2020.15,15,Millers Ferry,USCE-Mobile District,Electric Utility,Camden,Wilcox,Alabama,36726,hydroelectric,90,Conventional Hydroelectric
powerplant_hydro_2020.16,16,Guntersville,Tennessee Valley Authority,Electric Utility,Guntersville,Marshall,Alabama,35976,hydroelectric,122.7,Conventional Hydroelectric
powerplant_hydro_2020.17,17,Wheeler Dam,Tennessee Valley Authority,Electric Utility,Town Creek,Lawrence,Alabama,35672,hydroelectric,398.2,Conventional Hydroelectric
powerplant_hydro_2020.18,18,Gantt,PowerSouth Energy Cooperative,Electric Utility,Andalusia,Covington,Alabama,36421,hydroelectric,2.8,Conventional Hydroelectric
powerplant_hydro_2020.19,19,Point A,PowerSouth Energy Cooperative,Electric Utility,Andalusia,Covington,Alabama,36421,hydroelectric,5.4,Conventional Hydroelectric
powerplant_hydro_2020.20,20,Annex Creek,Alaska Electric Light&Power Co,Electric Utility,Juneau,Juneau,Alaska,99801,hydroelectric,3.6,Conventional Hydroelectric
powerplant_hydro_2020.21,21,Salmon Creek 1,Alaska Electric Light&Power Co,Electric Utility,Juneau,Juneau,Alaska,99801,hydroelectric,5.2,Conventional Hydroelectric
