FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_solar_2020.360,360,Bed Bath & Beyond DC Port Reading NJ,Bed Bath & Beyond,Commercial Non-CHP,Port Reading,Middlesex,New Jersey,7008,solar,1.8,Solar Photovoltaic
powerplant_solar_2020.775,775,Intel Folsom Phase 2,Tesla Inc.,IPP Non-CHP,Folsom,Sacramento,California,95360,solar,1,Solar Photovoltaic
powerplant_solar_2020.965,965,Faison Solar,USF Surry LLC,IPP Non-CHP,Faison,Duplin,North Carolina,28341,solar,2,Solar Photovoltaic
powerplant_solar_2020.2228,2228,Grafton PV,GSRP,IPP Non-CHP,Grafton,Worcester,Massachusetts,1519,solar,2.7,Solar Photovoltaic
powerplant_solar_2020.2756,2756,Eichtens II CSG,,IPP Non-CHP,Winstead,Chisago,Minnesota,55012,solar,1,Solar Photovoltaic
powerplant_solar_2020.3091,3091,Kearsarge Gill,Kearsarge Gill LLC,IPP Non-CHP,Gill,Franklin,Massachusetts,1354,solar,2,Solar Photovoltaic
powerplant_solar_2020.1,1,General Electric Aircraft Engines,General Electric Aircraft Engines,Industrial Non-CHP,Lynn,Essex,Massachusetts,1910,solar,2.1,Solar Photovoltaic
powerplant_solar_2020.2,2,Sunray 2,"Sunray Energy 2, LLC",IPP Non-CHP,Daggett,San Bernardino,California,92327,solar,20,Solar Photovoltaic
powerplant_solar_2020.3,3,Sunray 3,Sunray Energy 3 LLC,IPP Non-CHP,Daggett,San Bernardino,California,92327,solar,13.8,Solar Photovoltaic
powerplant_solar_2020.4,4,SEGS III,FPL Energy Operating Services Inc - SEGS,IPP Non-CHP,Boron,San Bernardino,California,93516,solar,36,Solar Thermal without Energy Storage
powerplant_solar_2020.5,5,SEGS IV,FPL Energy Operating Services Inc - SEGS,IPP Non-CHP,Boron,San Bernardino,California,93516,solar,36,Solar Thermal without Energy Storage
powerplant_solar_2020.6,6,SEGS V,FPL Energy Operating Services Inc - SEGS,IPP Non-CHP,Boron,San Bernardino,California,93516,solar,36,Solar Thermal without Energy Storage
powerplant_solar_2020.7,7,SEGS VI,FPL Energy Operating Services Inc - SEGS,IPP Non-CHP,Boron,San Bernardino,California,93516,solar,36,Solar Thermal without Energy Storage
powerplant_solar_2020.8,8,SEGS VII,FPL Energy Operating Services Inc - SEGS,IPP Non-CHP,Boron,San Bernardino,California,93516,solar,36,Solar Thermal without Energy Storage
powerplant_solar_2020.9,9,SEGS VIII,Terra-Gen Operating Co-Solar,IPP Non-CHP,Hinkley,San Bernardino,California,92347,solar,88,Solar Thermal without Energy Storage
powerplant_solar_2020.10,10,SEGS IX,Terra-Gen Operating Co-Solar,IPP Non-CHP,Hinkley,San Bernardino,California,92347,solar,88,Solar Thermal without Energy Storage
powerplant_solar_2020.11,11,Prescott Airport,Arizona Public Service Co,Electric Utility,Prescott,Yavapai,Arizona,86301,solar,2.1,Solar Photovoltaic
powerplant_solar_2020.12,12,Nevada Solar One,Acciona Solar Power,IPP Non-CHP,Boulder City,Clark,Nevada,89005,solar,68.5,Solar Thermal without Energy Storage
powerplant_solar_2020.13,13,SunE Alamosa,SunE Alamosa1 LLC,IPP Non-CHP,Hooper,Alamosa,Colorado,81136,solar,7.7,Solar Photovoltaic
powerplant_solar_2020.14,14,Nellis Air Force Base Solar Array,Solar Star NAFB LLC,Commercial Non-CHP,Las Vegas,Clark,Nevada,89191,solar,14,Solar Photovoltaic
powerplant_solar_2020.15,15,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,IPP Non-CHP,Lanai City,Maui,Hawaii,96763,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.16,16,CalRenew-1,CalRenew-1 LLC,IPP Non-CHP,Mendota,Fresno,California,93640,solar,5,Solar Photovoltaic
powerplant_solar_2020.17,17,Solana Generating Station,Arizona Solar One LLC,IPP Non-CHP,Gila Bend,Maricopa,Arizona,85337,solar,295.6,Solar Thermal with Energy Storage
powerplant_solar_2020.18,18,CSU Fresno Solar Project,MMA Fresno Power LP,IPP Non-CHP,Fresno,Fresno,California,93740,solar,1,Solar Photovoltaic
powerplant_solar_2020.19,19,ELACC Photovoltaic Power Facility,MMA LA Power LP,IPP Non-CHP,Los Angeles,Los Angeles,California,91754,solar,0.8,Solar Photovoltaic
powerplant_solar_2020.20,20,Denver Int Airport,MMA DAS Power,IPP Non-CHP,Denver,Denver,Colorado,80249,solar,1.9,Solar Photovoltaic
powerplant_solar_2020.21,21,Bolthouse S&P and Rowen Farms Solar,MMA WBF Power LP,IPP Non-CHP,Palmdale,Los Angeles,California,93591,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.22,22,Sacramento Soleil LLC,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Wilton,Sacramento,California,95693,solar,1,Solar Photovoltaic
powerplant_solar_2020.23,23,Hall's Warehouse Solar Project,"Sunlight General Solar Fund II, LLC",IPP Non-CHP,South Plainfield,Middlesex,New Jersey,7080,solar,1.6,Solar Photovoltaic
powerplant_solar_2020.24,24,Pennsauken Solar,EPP Renewable Energy,IPP Non-CHP,Pennsauken,Camden,New Jersey,8110,solar,3.9,Solar Photovoltaic
powerplant_solar_2020.25,25,Warren County Solar,EPP Renewable Energy,IPP Non-CHP,Belvidere,Warren,New Jersey,8865,solar,2,Solar Photovoltaic
powerplant_solar_2020.26,26,PPL Renewable Energy Merck Solar,EPP Renewable Energy,IPP Non-CHP,Summit,Union,New Jersey,7901,solar,1.7,Solar Photovoltaic
powerplant_solar_2020.27,27,Atlantic City Convention Center,"Constellation Solar New Jersey, LLC",Commercial Non-CHP,Atlantic City,Atlantic,New Jersey,8401,solar,2,Solar Photovoltaic
powerplant_solar_2020.28,28,Gap Pacific Distribution Center,GSRP,Commercial Non-CHP,Fresno,Fresno,California,93727,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.29,29,SAS Solar Farm,SAS Institute Inc,IPP Non-CHP,Cary,Wake,North Carolina,27513,solar,2,Solar Photovoltaic
powerplant_solar_2020.30,30,"Imperial Valley Solar, LLC","Imperial Valley Solar, LLC",IPP Non-CHP,Calexico,Imperial,California,92231,solar,199.9,Solar Photovoltaic
powerplant_solar_2020.31,31,WWRF Solar Plant,SunE U6 Holdings LLC,IPP Non-CHP,Rifle,Garfield,Colorado,81650,solar,1.3,Solar Photovoltaic
powerplant_solar_2020.32,32,DeSoto Next Generation Solar Energy,Florida Power & Light Co,Electric Utility,Arcadia,DeSoto,Florida,34265,solar,25,Solar Photovoltaic
powerplant_solar_2020.33,33,Space Coast Next Gen Solar Energy,Florida Power & Light Co,Electric Utility,Merritt Island,Brevard,Florida,32927,solar,10,Solar Photovoltaic
powerplant_solar_2020.34,34,SunEdison LV Sutton Plant Site,SunE NC Progress 1 LLC,IPP Non-CHP,Wilmington,New Hanover,North Carolina,28401,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.35,35,Solar Blythe LLC,NRG Solar Blythe,IPP Non-CHP,Blythe,Riverside,California,92225,solar,21,Solar Photovoltaic
powerplant_solar_2020.36,36,CM10,Consolidated Edison Development Inc.,IPP Non-CHP,Boulder City,Clark,Nevada,89005,solar,10,Solar Photovoltaic
powerplant_solar_2020.37,37,QVC Inc,QVC Inc,IPP Non-CHP,Rocky Mount,Edgecombe,North Carolina,27801,solar,3.9,Solar Photovoltaic
powerplant_solar_2020.38,38,MF Mesa Lane LLC,MF Mesa Lane LLC,IPP Non-CHP,Morrisville,Bucks,Pennsylvania,19067,solar,3,Solar Photovoltaic
powerplant_solar_2020.39,39,Solar Photovoltaic Project #02,Southern California Edison Co,Electric Utility,Chino,San Bernardino,California,91710,solar,1,Solar Photovoltaic
powerplant_solar_2020.40,40,SunEdison Walgreens Moreno Valley,SunE WG113 Moreno Valley LLC,IPP Non-CHP,Moreno Valley,Riverside,California,92551,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.41,41,Mariani Packing Vacaville Solar,SunE U6 Holdings LLC,IPP Non-CHP,Vacaville,Solano,California,95688,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.42,42,Walgreens Woodland Distribution Center,SunE WG45 Woodland LLC,IPP Non-CHP,Woodland,Yolo,California,95776,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.43,43,SunEdison Ironwood State Prison,SunE CPA CDC2 LLC,IPP Non-CHP,Blythe,Riverside,California,92225,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.44,44,SunEdison Procter & Gamble Oxnard,SunE U6 Holdings LLC,IPP Non-CHP,Oxnard,Ventura,California,95826,solar,0.8,Solar Photovoltaic
powerplant_solar_2020.45,45,Kohls San Bernardino Solar Facility,Longroad Energy Services LLC,IPP Non-CHP,San Bernardino,San Bernardino,California,92408,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.46,46,SunEdison Anheuser Busch Fairfield,SunE M5 Holdings LLC,IPP Non-CHP,Fairfield,Solano,California,94534,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.47,47,Chuckawalla Valley State Prison,SunE CPA CDC1 LLC,IPP Non-CHP,Blythe,Riverside,California,92225,solar,0.9,Solar Photovoltaic
