FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_wind_2020.78,78,Foote Creek I,PacifiCorp,Electric Utility,McFadden,Carbon,Wyoming,82084,wind,41.4,Onshore Wind Turbine
powerplant_wind_2020.1,1,Lamar Plant,City of Lamar - (CO),Electric Utility,Lamar,Prowers,Colorado,81052,wind,7.5,Petroleum Liquids; Onshore Wind Turbine;
powerplant_wind_2020.2,2,Medicine Bow,SRIV Partnership LLC,IPP Non-CHP,Medicine Bow,Carbon,Wyoming,82329,wind,6.2,Onshore Wind Turbine
powerplant_wind_2020.3,3,Searsburg Wind Turbine,Green Mountain Power Corp,Electric Utility,Searsburg,Bennington,Vermont,5363,wind,5.2,Onshore Wind Turbine
powerplant_wind_2020.4,4,Princeton Wind Farm,Town of Princeton - (MA),Electric Utility,Princeton,Worcester,Massachusetts,1541,wind,3,Onshore Wind Turbine
powerplant_wind_2020.5,5,Solano Wind,Sacramento Municipal Util Dist,Electric Utility,Rio Vista,Solano,California,94512,wind,228.1,Onshore Wind Turbine
powerplant_wind_2020.6,6,Springview,Bluestem LLC,IPP Non-CHP,Springview,Keya Paha,Nebraska,68778,wind,3,Onshore Wind Turbine
powerplant_wind_2020.7,7,Moorhead Wind Turbine,City of Moorhead - (MN),Electric Utility,Moorhead,Clay,Minnesota,56560,wind,1.4,Onshore Wind Turbine
powerplant_wind_2020.8,8,Wind Turbine,Madison Gas & Electric Co,Electric Utility,Casco,Kewaunee,Wisconsin,54205,wind,0.8,Onshore Wind Turbine
powerplant_wind_2020.9,9,Buffalo Mountain,Tennessee Valley Authority,Electric Utility,Oliver Springs,Anderson,Tennessee,37840,wind,2.1,Onshore Wind Turbine
powerplant_wind_2020.10,10,Nine Canyon,Energy Northwest,Electric Utility,Kennewick,Benton,Washington,99336,wind,95,Onshore Wind Turbine
powerplant_wind_2020.11,11,Salt Valley Wind Plant,Lincoln Electric System,Electric Utility,Lincoln,Lancaster,Nebraska,68517,wind,1.4,Onshore Wind Turbine
powerplant_wind_2020.12,12,Iowa Distributed Wind Generation Project,City of Algona - (IA),Electric Utility,Algona,Kossuth,Iowa,50511,wind,2.3,Onshore Wind Turbine
powerplant_wind_2020.13,13,Chamberlain Wind Project,Basin Electric Power Coop,Electric Utility,Chamberlain,Brule,South Dakota,57325,wind,2.6,Onshore Wind Turbine
powerplant_wind_2020.14,14,Dinosaur Point,International Turbine Res Inc,IPP Non-CHP,Los Banos,Merced,California,93635,wind,17,Onshore Wind Turbine
powerplant_wind_2020.15,15,Tehachapi Wind Resource I,CalWind Resources Inc,IPP Non-CHP,Tehachapi,Kern,California,93581,wind,8.7,Onshore Wind Turbine
powerplant_wind_2020.16,16,Cameron Ridge LLC,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,59.6,Onshore Wind Turbine
powerplant_wind_2020.17,17,Ridgetop Energy LLC,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,29,Onshore Wind Turbine
powerplant_wind_2020.18,18,Karen Avenue Wind Farm,San Gorgonio Farms Inc,IPP Non-CHP,North Palm Springs,Riverside,California,92258,wind,11.7,Onshore Wind Turbine
powerplant_wind_2020.19,19,Wintec Energy Ltd,Wintec Energy Ltd,IPP Non-CHP,Palm Springs,Riverside,California,92258,wind,5.9,Onshore Wind Turbine
powerplant_wind_2020.20,20,San Gorgonio Farms Wind Farm,San Gorgonio Farms Inc,IPP Non-CHP,Whitewater,Riverside,California,92282,wind,31,Onshore Wind Turbine
powerplant_wind_2020.21,21,Victory Garden (Tehachapi),Wind Stream Operations LLC,IPP Non-CHP,Tehachapi,Kern,California,93561,wind,18.8,Onshore Wind Turbine
powerplant_wind_2020.22,22,Mesa Wind Power Corp,Brookfield Renewable Trading and Marketing LP,IPP Non-CHP,North Palm Springs,Riverside,California,92258,wind,29.9,Onshore Wind Turbine
powerplant_wind_2020.23,23,Sky River LLC,Sky River LLC,IPP Non-CHP,Tehachapi,Kern,California,93561,wind,76.9,Onshore Wind Turbine
powerplant_wind_2020.24,24,GPS Cabazon Wind LLC,GlidePath Power Operations LLC,IPP Non-CHP,North Palm Springs,Riverside,California,92230,wind,38.9,Onshore Wind Turbine
powerplant_wind_2020.25,25,Edom Hills Project 1 LLC,"Red Marlin Wind Ventures, LLC",IPP Non-CHP,Cathedral City,Riverside,California,92235,wind,20,Onshore Wind Turbine
powerplant_wind_2020.26,26,San Gorgonio Westwinds II LLC,Terra-Gen Operating Co-Wind,IPP Non-CHP,North Palm Springs,Riverside,California,92258,wind,43.4,Onshore Wind Turbine
powerplant_wind_2020.27,27,Oak Creek Energy Systems I,Oak Creek Energy System Inc II,IPP Non-CHP,Mojave,Kern,California,93501,wind,34.5,Onshore Wind Turbine
powerplant_wind_2020.28,28,East Winds Project,Terra-Gen Operating Co-Wind,IPP Non-CHP,Palm Springs,Riverside,California,92262,wind,3,Onshore Wind Turbine
powerplant_wind_2020.29,29,Mojave 16,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,48,Onshore Wind Turbine
powerplant_wind_2020.30,30,Mojave 18,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,40.5,Onshore Wind Turbine
powerplant_wind_2020.31,31,Mojave 4,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,24.3,Onshore Wind Turbine
powerplant_wind_2020.32,32,Mojave 3,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,22.7,Onshore Wind Turbine
powerplant_wind_2020.33,33,Mojave 5,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,20,Onshore Wind Turbine
powerplant_wind_2020.34,34,85 A,"Tehachapi Wind Wall, LLC",IPP Non-CHP,Tehachapi,Kern,California,93561,wind,14.1,Onshore Wind Turbine
powerplant_wind_2020.35,35,85 B,"Tehachapi Wind Wall, LLC",IPP Non-CHP,Tehachapi,Kern,California,93561,wind,21.2,Onshore Wind Turbine
powerplant_wind_2020.36,36,Helzel & Schwarzhoff 88 Wind Farm,"Terra-Gen 251 Wind, LLC",IPP Non-CHP,Tehachapi,Kern,California,93561,wind,1.8,Onshore Wind Turbine
powerplant_wind_2020.37,37,Coram Energy LLC (ECT),Brookfield Renewable Trading and Marketing LP,IPP Non-CHP,Tehachapi,Kern,California,93501,wind,7.5,Onshore Wind Turbine
powerplant_wind_2020.38,38,Coram Energy LLC,Brookfield Renewable Trading and Marketing LP,IPP Non-CHP,Tehachapi,Kern,California,93501,wind,3,Onshore Wind Turbine
powerplant_wind_2020.39,39,CTV Power Purchase Contract Trust,Brookfield Renewable Trading and Marketing LP,IPP Non-CHP,Tehachapi,Kern,California,93501,wind,4.6,Onshore Wind Turbine
powerplant_wind_2020.40,40,EDF Renewable Windfarm V Inc,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Birds Landing,Solano,California,94512,wind,15.5,Onshore Wind Turbine
powerplant_wind_2020.41,41,San Gorgonio Windplant WPP1993,"FPL Energy Operating Services, Inc.",IPP Non-CHP,North Palm Springs,Riverside,California,92258,wind,49.5,Onshore Wind Turbine
powerplant_wind_2020.42,42,TPC Windfarms LLC,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,28.7,Onshore Wind Turbine
powerplant_wind_2020.43,43,Swanmill Windfarm I,Mark Technologies Corp,IPP Non-CHP,North Palm Springs,Riverside,California,92264,wind,18.7,Onshore Wind Turbine
powerplant_wind_2020.44,44,Difwind Farms Ltd VI,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,25.3,Onshore Wind Turbine
powerplant_wind_2020.45,45,Coram Tehachapi,Brookfield Renewable Trading and Marketing LP,IPP Non-CHP,Tehachapi,Kern,California,93501,wind,6.5,Onshore Wind Turbine
powerplant_wind_2020.46,46,Storm Lake 1,Allete Clean Energy,IPP Non-CHP,Alta,Buena Vista,Iowa,51002,wind,109.4,Onshore Wind Turbine
powerplant_wind_2020.47,47,Tehachapi Wind Resource II,CalWind Resources Inc,IPP Non-CHP,Tehachapi,Kern,California,93561,wind,21.9,Onshore Wind Turbine
powerplant_wind_2020.48,48,Ridgetop,Terra-Gen Operating Co-Wind,IPP Non-CHP,Mojave,Kern,California,93501,wind,46.9,Onshore Wind Turbine
powerplant_wind_2020.49,49,Big Spring Wind Power Facility,Terra-Gen Operating Co-Wind,IPP Non-CHP,Big Spring,Howard,Texas,79720,wind,34.3,Onshore Wind Turbine
powerplant_wind_2020.50,50,Vansycle,ESI Vansycle Partners LP,IPP Non-CHP,Touchet,Umatilla,Oregon,97835,wind,25,Onshore Wind Turbine
powerplant_wind_2020.51,51,Ponnequin Phase 1,"Ponnequin Acquisitions, LLC",IPP Non-CHP,"Close to Cheyenne, WY",Weld,Colorado,82001,wind,5.2,Onshore Wind Turbine
powerplant_wind_2020.52,52,Lake Benton I,Allete Clean Energy,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,56149,wind,104.5,Onshore Wind Turbine
powerplant_wind_2020.53,53,Lake Benton II,Northern States Power Co - Minnesota,IPP Non-CHP,Ruthton,Pipestone,Minnesota,56170,wind,103.5,Onshore Wind Turbine
powerplant_wind_2020.54,54,Storm Lake II,Allete Clean Energy,IPP Non-CHP,Alta,Buena Vista,Iowa,51002,wind,76.5,Onshore Wind Turbine
powerplant_wind_2020.55,55,Woodstock Windfarm,Consolidated Edison Development Inc.,IPP Non-CHP,Woodstock,Pipestone,Minnesota,56186,wind,9.2,Onshore Wind Turbine
powerplant_wind_2020.56,56,Lakota Ridge LLC,Energy Operations Group LLC (MN),IPP Non-CHP,Hendricks,Lincoln,Minnesota,56142,wind,11.2,Onshore Wind Turbine
powerplant_wind_2020.57,57,Shaokatan Hills LLC,Energy Operations Group LLC (MN),IPP Non-CHP,Hendricks,Lincoln,Minnesota,56142,wind,11.8,Onshore Wind Turbine
powerplant_wind_2020.58,58,Wethersfield Wind Farm,CHI Energy Inc,IPP Non-CHP,Gainesville,Wyoming,New York,14066,wind,6.6,Onshore Wind Turbine
powerplant_wind_2020.59,59,Green Power I,FPL Energy Green Power,IPP Non-CHP,North Palm Springs,Riverside,California,92258,wind,16.5,Onshore Wind Turbine
powerplant_wind_2020.60,60,FPL Energy Vansycle LLC (WA),FPL Energy Vansycle LLC,IPP Non-CHP,Touchet,Walla Walla,Washington,99360,wind,176.9,Onshore Wind Turbine
powerplant_wind_2020.61,61,Tsar Nicholas LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.62,62,Sun River LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.63,63,Julia Hills LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.64,64,Jessica Mills LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.65,65,Jack River LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.66,66,Autumn Hills LLC,CHI Operations Inc,IPP Non-CHP,Hendricks,Lincoln,Minnesota,56136,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.67,67,Winters Spawn LLC,CHI Operations Inc,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,55149,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.68,68,Twin Lake Hills LLC,CHI Operations Inc,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,55149,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.69,69,Spartan Hills LLC,CHI Operations Inc,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,55149,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.70,70,Soliloquoy Ridge LLC,CHI Operations Inc,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,55149,wind,1.9,Onshore Wind Turbine
powerplant_wind_2020.71,71,Ruthton Ridge LLC,CHI Operations Inc,IPP Non-CHP,Lake Benton,Lincoln,Minnesota,55149,wind,1.9,Onshore Wind Turbine
