,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,(R) 2018,2019
Energy consumption (all sectors),(R) 45.04,(R) 53.95,(R) 67.82,(R) 71.93,(R) 78.02,(R) 76.33,(R) 84.43,(R) 84.38,(R) 85.72,(R) 87.27,(R) 88.98,(R) 90.93,(R) 93.93,(R) 94.51,(R) 94.92,(R) 96.54,(R) 98.70,(R) 96.06,(R) 97.54,(R) 97.83,(R) 100.00,(R) 100.10,(R) 99.39,(R) 100.89,(R) 98.75,(R) 93.94,(R) 97.52,(R) 96.85,(R) 94.38,(R) 97.12,(R) 98.28,(R) 97.38,(R) 97.33,(R) 97.70,101.19,100.22
Total transportation consumptiona,10.6,12.43,16.1,18.25,19.7,20.09,22.42,22.12,22.42,22.67,23.32,23.81,24.42,24.72,25.22,25.92,26.52,26.24,26.81,26.88,27.83,28.26,28.7,28.82,27.42,26.59,26.98,26.6,26.13,26.61,26.87,27.24,27.79,(R) 28.01,28.45,28.28
Transportation as percent of total energy consumption,23.53,23.04,23.74,25.36,25.25,26.32,(R) 26.55,26.21,26.15,25.96,26.19,26.17,25.98,26.14,26.56,26.82,26.84,27.3,27.47,27.46,27.81,28.21,28.85,28.54,27.75,28.28,27.64,27.44,27.66,27.38,27.31,27.94,28.52,(R) 28.67,28.12,28.22
Total primary consumptionb,10.56,12.4,16.06,18.21,19.66,20.04,22.37,22.06,22.36,22.62,23.26,23.76,24.36,24.67,25.17,25.86,26.46,26.18,26.75,26.81,27.75,28.18,28.62,28.73,27.34,26.51,26.9,26.52,26.05,(R) 26.53,26.79,27.16,27.71,27.94,28.38,28.21
Natural gasd,0.36,0.52,0.74,0.59,0.65,0.52,0.68,0.62,0.61,0.64,0.71,0.72,0.74,0.78,0.67,0.68,0.67,0.66,0.7,0.63,0.6,0.62,0.62,0.66,0.69,0.71,0.72,0.73,0.78,0.89,0.76,0.74,0.76,0.8,0.95,0.98
in trillion cubic feet,0.35,0.5,0.72,0.58,0.63,0.5,0.66,0.6,0.59,0.63,0.69,0.7,0.72,0.76,0.64,0.66,0.65,0.64,0.68,0.61,0.59,0.61,0.61,0.65,0.67,0.7,0.7,0.72,0.76,0.86,0.74,0.72,0.73,0.77,0.91,0.94
Petroleum productse,10.13,11.87,15.31,17.62,19.01,19.47,21.63,21.37,21.67,21.88,22.45,22.92,23.55,23.79,24.39,25.07,25.65,25.38,25.88,25.95,26.86,27.22,27.52,27.46,25.82,24.86,25.1,24.63,24.11,24.36,24.73,(R) 25.08,25.51,(R) 25.70,26.01,25.82
in million barrels,"1,880","2,203","2,839","3,267","3,494","3,591","3,974","3,929","3,971","4,060","4,167","4,259","4,351","4,416","4,533","4,659","4,749","4,722","4,821","4,849","5,008","5,094","5,175","5,215","4,972","4,853","4,927","(R) 4,851","(R) 4,750","(R) 4,837","4,911","(R) 4,982","(R) 5,069","(R) 5,116","5,166","5,131"
Electricity,0.01,0.01,0.011,0.01,0.011,0.014,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.02,0.019,0.023,0.025,0.026,0.025,0.028,0.026,0.027,0.026,0.026,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026
Electrical system energy lossesf,0.026,0.024,0.026,0.024,0.027,0.032,0.037,0.037,0.036,0.037,0.038,0.038,0.038,0.038,0.038,0.04,0.042,0.043,0.042,0.051,0.054,0.056,0.054,0.06,0.056,0.056,0.055,0.054,0.051,0.053,0.053,0.051,0.05,0.05,0.05,0.05
